scenario,backend,dataset,n_total,clients,rounds,final_test_acc,mean_included,mean_refunds,mean_unretrievable,mean_invalid,store_puts,store_gets,store_get_failures,tx_count,total_gas_used_model_or_estimate,claim_errors_expected_when_no_entitlement,plain_final_test_acc,accuracy_gap_vs_plain
storage_0.0,mock,mnist_784,20000,10,12,0.8934,10.0,10.0,0.0,0.0,133,120,0,275,26529000,0,0.8934,0.0
storage_0.1,mock,mnist_784,20000,10,12,0.8928,9.25,9.25,0.75,0.0,133,120,9,275,26349000,0,0.8934,-0.0005999999999999
storage_0.2,mock,mnist_784,20000,10,12,0.894,8.0,8.0,2.0,0.0,133,120,24,275,26049000,0,0.8934,0.0006
storage_0.4,mock,mnist_784,20000,10,12,0.8896,5.583333333333333,5.583333333333333,4.416666666666667,0.0,133,120,53,275,25469000,0,0.8934,-0.0038
dropout_0.0,mock,mnist_784,20000,10,12,0.8934,10.0,10.0,0.0,0.0,133,120,0,275,26529000,0,0.8934,0.0
invalid_0.0,mock,mnist_784,20000,10,12,0.8934,10.0,10.0,0.0,0.0,133,120,0,275,26529000,0,0.8934,0.0
dropout_0.2,mock,mnist_784,20000,10,12,0.8912,8.083333333333334,8.083333333333334,0.0,0.0,110,97,0,229,21952000,0,0.8934,-0.0021999999999999
invalid_0.2,mock,mnist_784,20000,10,12,0.8918,8.416666666666666,10.0,0.0,1.5833333333333333,133,120,0,275,26339000,0,0.8934,-0.0015999999999999
dropout_0.4,mock,mnist_784,20000,10,12,0.892,5.666666666666667,5.666666666666667,0.0,0.0,81,68,0,171,16181000,0,0.8934,-0.0013999999999999
invalid_0.4,mock,mnist_784,20000,10,12,0.8918,6.25,10.0,0.0,3.75,133,120,0,275,26079000,0,0.8934,-0.0015999999999999
